id,product_id,rating,date,summary,body,recommend,reported,reviewer_name,reviewer_email,response,helpfulness
1,1,5,1596080481467,"This product was great!","I really did or did not like this product based on whether it was sustainably sourced.  Then I found out that its made from nothing at all.",true,false,"funtime","first.last@gmail.com",null,8
2,1,4,1610178433963,"This product was ok!","I really did not like this product solely because I am tiny and do not fit into it.",false,false,"mymainstreammother","first.last@gmail.com",null,2
3,2,4,1609325851021,"I am liking these glasses","They are very dark.  But that's good because I'm in very sunny spots",true,false,"bigbrotherbenjamin","first.last@gmail.com","Glad you're enjoying the product!",5
4,2,4,1593628485253,"They look good on me","I so stylish and just my aesthetic.",true,false,"fashionperson","first.last@gmail.com",null,1
5,2,3,1615987717620,"I'm enjoying wearing these shades","Comfortable and practical.",true,false,"shortandsweeet","first.last@gmail.com",null,5
6,2,5,1593564521722,"I'm not a fan!","I don't like them",false,false,"negativity","first.last@gmail.com","Sorry to hear. Is there anything in particular you don't like?",0
7,2,2,1609522845466,"This product was ok!","They're fine but I wouldn't buy again.",false,false,"anyone","first.last@gmail.com",null,0
8,4,4,1599505939632,"These pants are fine","I do like these pants",true,false,"shopaddict","first.last@gmail.com",null,2
9,4,5,1609325851021,"These pants are great!","I really like these pants. Best fit ever!",true,false,"figuringitout","first.last@gmail.com",null,2
10,4,2,1592977554987,"These pants are ok!","A little tight on the waist.",false,false,"bigbrother","first.last@gmail.com",null,2
11,5,4,1612509984089,"Great shoes!","Now I can get to stomping!",true,false,"chingy","first.last@gmail.com",null,12
12,5,3,1594890076276,"They're heavy but great","I like them but they run wide.",true,false,"thinfootjim","first.last@gmail.com",null,3
13,7,5,1602721790544,"Ye is good at everything","I mortgaged my house to pay for these",true,false,"yecrazy","first.last@gmail.com",null,2
14,7,1,1619382006414,"I don't like Kanye","I didn't buy the shoes but I don't like the man behind them",false,true,"taylor","first.last@gmail.com",null,0
15,12,2,1594060020687,"Fugit voluptas aut accusamus iure maiores.","Doloribus ut beatae sed. Qui autem voluptatum laboriosam incidunt ipsa animi aliquid qui. Ut aperiam laboriosam occaecati laudantium id voluptatem vel qui. Ullam aut esse pariatur voluptatum sint natus.",true,false,"Steve.Witting98","Makenna1@gmail.com",null,11
16,12,1,1591588933102,"Possimus et dignissimos et sed.","Temporibus debitis cumque ipsum. Nisi eum praesentium reiciendis saepe. Rerum amet modi et rerum et delectus. Sed consectetur voluptatem optio dolore possimus nihil quasi dolore facilis.",false,false,"America_Schuppe","Antonetta.Kautzer@gmail.com",null,15
17,12,3,1598726311040,"Et assumenda aliquam omnis quia dolorem et perferendis et perspiciatis.","Magnam consequatur est. Nihil unde iste nemo quisquam. Ipsum nam officiis animi cum illo consectetur maxime.",true,false,"Brady_Berge10","Kaleigh.Greenfelder75@hotmail.com",null,4
